Format version	Start date	End date	Sender	Recipient	Aggregator	Disclaimer
1	10/01/12	10/31/12	Spotify	The Recording Consort	The Recording Consort	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
FR	Anima e Corpo Musica	A	spotify:track:0xK0ntmDnFoa7XYWAkfxOy		7502258850121	MX2831000250	Amor en extremos tales	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	1	0.001854945054945054945054945055
ES	Anima e Corpo Musica	A	spotify:track:0xK0ntmDnFoa7XYWAkfxOy		7502258850121	MX2831000250	Amor en extremos tales	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	42	0.1632661303298471440064360418
ES	Anima e Corpo Musica	U	spotify:track:0xK0ntmDnFoa7XYWAkfxOy		7502258850121	MX2831000250	Amor en extremos tales	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	18	0.06997230098146128680479825519
ES	Quindecim Recordings	A	spotify:track:1wkxYdnpNgXyRsMvlBYF9J		7509708092001	MX2831200890	Sonata No.6 "Mozartiana": III. Var. vii. Tranquillo	Mauricio Náder, Carlos Chavez	N/A	Apuntes para Piano: Música Mexicana para Piano de los Siglos XX y XXI	12	0.04664746580852775543041029766
DE	Anima e Corpo Musica	A	spotify:track:1FRLKIICjisH3Cm3tXvUK6		7502258850121	MX2831000255	Vuestros ojos	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	4	0.01555038759689922480620155039
ES	Anima e Corpo Musica	U	spotify:track:1FRLKIICjisH3Cm3tXvUK6		7502258850121	MX2831000255	Vuestros ojos	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	18	0.06997230098146128680479825519
ES	Anima e Corpo Musica	P	spotify:track:1FRLKIICjisH3Cm3tXvUK6		7502258850121	MX2831000255	Vuestros ojos	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	21	0.08163591731266149870801033592
ES	Anima e Corpo Musica	A	spotify:track:1FRLKIICjisH3Cm3tXvUK6		7502258850121	MX2831000255	Vuestros ojos	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	58	0.2254627514078841512469831054
BE	Anima e Corpo Musica	P	spotify:track:1FRLKIICjisH3Cm3tXvUK6		7502258850121	MX2831000255	Vuestros ojos	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	1	0.003886842105263157894736842105
SE	Videophonic	U	spotify:track:1GBde5PQtKGt9VQWAyMYt4		7502258850503	MX2831000991	Concert for Saxophone, Soprano and Orchestra: III. Rondó	Abel Pérez Pitón, Robert Cummings	N/A	Conciertos de Abel Pérez Pitón	13	0.06474
US	Videophonic	A	spotify:track:1GBde5PQtKGt9VQWAyMYt4		7502258850503	MX2831000991	Concert for Saxophone, Soprano and Orchestra: III. Rondó	Abel Pérez Pitón, Robert Cummings	N/A	Conciertos de Abel Pérez Pitón	1	0.001042984542211652794292508918
GB	Cantus Records	U	spotify:track:1O2eT8X41P4QnvnGNbSChX		7502258850220	MX2831000508	Bransle de Bourgongne II	Michael Craddock, Adrian Le Roy	N/A	Tabulatures de Guiterne: Music for Renaissance Guitar	1	0.006689834515366430260047281324
ES	Cantus Records	A	spotify:track:1O2eT8X41P4QnvnGNbSChX		7502258850220	MX2831000508	Bransle de Bourgongne II	Michael Craddock, Adrian Le Roy	N/A	Tabulatures de Guiterne: Music for Renaissance Guitar	25	0.09718222043443282381335478680
